Número;Nome;Partido/Coligação;Votos
15555;DRA KÁTIA NUNES;PMDB - PDT / PMDB / PR / PROS / DEM / PSC;1128
15678;FELIPE ALVES;PMDB - PDT / PMDB / PR / PROS / DEM / PSC;4511
16123;AMANDA GURGEL;PSTU;8002
16161;ALEXANDRE GUEDES;PSTU;103
16234;SILVINO BAÚ;PSTU;292
16345;ANTONIA MARINHO;PSTU;28
16456;MARCOS AURELIO;PSTU;415
16543;CELIA DANTAS;PSTU;288
16666;AILSON MATIAS;PSTU;5
16777;EDINEIDE AMORIM;PSTU;18
16780;EMANUEL ALVER;PSTU;70
16789;DARIO BARBOSA;PSTU;848
16888;CHERLITON SARAIVA;PSTU;5
17000;LENINHA;PSL - PSD / PTB / PSL;45
17333;WILSON COLLIER JR, COLLIER;PSL - PSD / PTB / PSL;153
17555;PROFESSORA ELEIKA;PSL - PSD / PTB / PSL;3758
17700;ARTHUR DUTRA;PSL - PSD / PTB / PSL;2099
17777;DR MONTE NETO;PSL - PSD / PTB / PSL;578
17888;PROFESSOR HUDSON PALHANO;PSL - PSD / PTB / PSL;701
18010;ARNALDO DA OFICINA;REDE;24
18018;MÃE DA REVOLTA DO BUSÃO;REDE;42
18153;JOÃO NAPOLEÃO;REDE;129
18333;IDER FREIRE;REDE;214
18888;JEANE FLAVIA;REDE;88
19000;ENGRACIA ALVES;PTN;457
19001;KATIA SILENE;PTN;2
19002;DILMA;PTN;2
19003;ZITA;PTN;2
19004;MILENA KARLA;PTN;0
19090;BUDA;PTN;117
19099;RENER;PTN;1006
19100;CLOTILDE GODEIRO;PTN;879
19110;ADALÉCIO;PTN;499
19111;ZEZINHO;PTN;731
19122;JOAOZINHO;PTN;79
19123;IZAQUE OLIVEIRA;PTN;912
19128;ROSILANDY FEITOSA;PTN;84
19133;ERIKO JÁCOME;PTN;2577
19150;ADELMA FELIX;PTN;17
19190;RAQUEL TAVEIRA;PTN;334
19191;PROFª ANA MOURA;PTN;63
19199;ALUISIO LEILÃO;PTN;583
19200;EDOMIRO BANDEIRA;PTN;374
19222;VICTOR NOÉ;PTN;1355
19223;GILMAR COSTA;PTN;285
19234;GILSON ALVES;PTN;16
19300;RODOLFO DE FARIAS;PTN;106
19333;MARCIO GOMES;PTN;1006
19400;SALETE CAMPELO;PTN;898
19444;ITANILDO REIS;PTN;1015
19456;PEDRO HENRIQUE;PTN;1054
19555;JOSY;PTN;4
19580;JOESLY CORRETOR;PTN;29
19600;SERGIO MOURA;PTN;75
19678;RERISON GUERREIRO;PTN;0
19700;ARNÓBIO LEÃO;PTN;77
19727;ORIVAL JUNIOR;PTN;0
19777;PAULINHO;PTN;495
19800;ADSON GURGEL;PTN;274
19888;JAILSON;PTN;251
19999;CARLOS SANTOS;PTN;0
20001;ISMAR VAMBORA;PSC - PDT / PMDB / PR / PROS / DEM / PSC;150
20016;ESAM ELALI;PSC - PDT / PMDB / PR / PROS / DEM / PSC;437
20111;ANUBIO MELO;PSC - PDT / PMDB / PR / PROS / DEM / PSC;572
20123;THIAGO NASCIMENTO;PSC - PDT / PMDB / PR / PROS / DEM / PSC;338
20321;MISSIONARIA CRISTIANE;PSC - PDT / PMDB / PR / PROS / DEM / PSC;478
22123;CESAR DE ADÃO ERIDAN;PR - PDT / PMDB / PR / PROS / DEM / PSC;2768
22222;MARCIA SOUZA;PR - PDT / PMDB / PR / PROS / DEM / PSC;94
22607;LUIZ ALMIR;PR - PDT / PMDB / PR / PROS / DEM / PSC;7339
22777;ELIAS PELA SAÚDE JUSTA;PR - PDT / PMDB / PR / PROS / DEM / PSC;271
23000;FLAVIA JOTA;PPS - PSB / PPS;70
23001;ZECA DO IGAPOÍ;PPS - PSB / PPS;137
23008;GORETI MARIA CHAVES PINHEIRO;PPS - PSB / PPS;19
23023;MARRY;PPS - PSB / PPS;1
23100;ITALO BORGES;PPS - PSB / PPS;218
23123;EDUARDO MACHADO;PPS - PSB / PPS;3002
23222;BETO;PPS - PSB / PPS;242
23232;YURI PETROVICH;PPS - PSB / PPS;13
23321;JOÃO DA JÓIA;PPS - PSB / PPS;3
23333;JOÃO RAFAEL;PPS - PSB / PPS;1597
23363;JOÃO GRANDE;PPS - PSB / PPS;2
23444;LUIZINHO;PPS - PSB / PPS;1017
23456;CLEONICE;PPS - PSB / PPS;81
23543;MONICA GUERREIRO;PPS - PSB / PPS;15
23555;ANCHIETA;PPS - PSB / PPS;403
23666;EZIEL;PPS - PSB / PPS;105
23777;GARI ALDAIR;PPS - PSB / PPS;178
25123;DAGÔ;DEM - PDT / PMDB / PR / PROS / DEM / PSC;3428
25125;FERNANDO CALDAS;DEM - PDT / PMDB / PR / PROS / DEM / PSC;59
27000;LUCINETE;PSDC - PRB / PSDC;7
27001;TIO ALEGRIA;PSDC - PRB / PSDC;42
27007;IVONE BRAZIL;PSDC - PRB / PSDC;413
27030;KAROL POSADZKI;PSDC - PRB / PSDC;2
27033;PESCOCINHO;PSDC - PRB / PSDC;210
27111;RICARDO MENDONÇA;PSDC - PRB / PSDC;452
27123;ZÉ UNIÃO;PSDC - PRB / PSDC;199
27127;SILAS SOUZA;PSDC - PRB / PSDC;57
27177;EIDER VIANA;PSDC - PRB / PSDC;156
27192;SÉRGIO CÔCO;PSDC - PRB / PSDC;318
27200;TIAGO OLIVEIRA;PSDC - PRB / PSDC;86
27222;PROF GUARÁ;PSDC - PRB / PSDC;267
27282;ACASSIA;PSDC - PRB / PSDC;56
27333;RAMINHO;PSDC - PRB / PSDC;656
27444;EMANOEL DO CAÇÃO;PSDC - PRB / PSDC;1433
27527;SANDRO LIRA;PSDC - PRB / PSDC;21
27555;KLEBSON RIBEIRO;PSDC - PRB / PSDC;605
27666;DINHO;PSDC - PRB / PSDC;112
27747;RAMBO DE NATAL;PSDC - PRB / PSDC;214
27772;IRAPUAN;PSDC - PRB / PSDC;0
27777;DR JOANILSON;PSDC - PRB / PSDC;1082
27789;JOÃO GAGO;PSDC - PRB / PSDC;67
27888;ANA PAULA;PSDC - PRB / PSDC;5465
28334;MARCELO FRAGOSO;PRTB - PRP / PTC / PRTB / PMN;169
28456;LAURO LIMA O CANCÃO;PRTB - PRP / PTC / PRTB / PMN;274
28888;MAJ RODRIGUES;PRTB - PRP / PTC / PRTB / PMN;714
31000;DR ISAAC MÁRIO;PHS;1314
31009;EDNA CÂMARA;PHS;0
31022;LEOMAR DANTAS;PHS;495
31033;PAULO ENFERMEIRO;PHS;1141
31073;SGTº SOUZA;PHS;92
31110;EMANUELLA GOMES;PHS;3
31111;LEANDRO PRUDENCIO;PHS;1082
31113;ENEDINO BATISTINHA;PHS;135
31118;DANIEL PONTES;PHS;137
31122;CARLÃO;PHS;647
31123;FATIMA LEAO;PHS;490
31134;FRANCISCO CANUTO;PHS;8
31135;ADAMIRES COSTA;PHS;280
31147;IRON BURITI;PHS;178
31163;ERIVAL COSTA;PHS;39
31190;LEONCIO QUEIROZ;PHS;664
31202;NILDO BORRACHEIRO;PHS;96
31222;PEDRINHO NO CORAÇÃO;PHS;611
31223;TATIANA BULHOES;PHS;80
31234;NENEM SANTANA;PHS;387
31236;IRMÃ GORETE;PHS;10
31288;EDSON ZUZA;PHS;656
31300;ITAMIR DE SOUSA;PHS;29
31314;REY POP SHOW;PHS;63
31323;LUIZ ROCHA;PHS;281
31331;GERSON PAIS;PHS;54
31333;PEDRO CORDEIRO;PHS;386
31382;ROSIANA CORDEIRO;PHS;1
31412;ALAIDE SOARES;PHS;4
31444;HIDELBRANDO GONÇALVES;PHS;405
31456;SUELDO MEDEIROS;PHS;1829
31553;OLIVEIRA PEDRO;PHS;215
31555;FRANKLIN DE ANDRADE;PHS;84
31666;DONA JEANE;PHS;74
31689;MARCIA SAMARA;PHS;0
31735;MARIA BARBOSA;PHS;0
31770;ONIVALDO JUNIOR;PHS;307
31777;IRMÃO GILBERTO;PHS;1308
31842;MARIA INES;PHS;0
31888;ALEX TOMAZ;PHS;505
31992;ANA COSTA;PHS;3
31999;SANDRA SANTOS;PHS;945
33000;SARGENTO SERGIO PASTEL;PMN - PRP / PTC / PRTB / PMN;580
33024;ANECARINE;PMN - PRP / PTC / PRTB / PMN;0
33111;MAJOR PARAGUAI;PMN - PRP / PTC / PRTB / PMN;324
33123;JAUFRAN SIQUEIRA;PMN - PRP / PTC / PRTB / PMN;0
33190;SARGENTO TEIXEIRA;PMN - PRP / PTC / PRTB / PMN;71
33333;IGOR RAFAEL;PMN - PRP / PTC / PRTB / PMN;1618
33456;GENILSON SOARES;PMN - PRP / PTC / PRTB / PMN;59
33777;IRMÃO RENATO;PMN - PRP / PTC / PRTB / PMN;337
35000;SARGENTO ROGERIO;PMB;807
35001;ROMILDO JUNIOR;PMB;429
35003;MARISE DEFENSORA DOS ANIMAIS;PMB;93
35006;MARIA CARVALHO;PMB;914
35007;DINARTE TORRES;PMB;2754
35035;JAIR PEREIRA;PMB;130
35055;SILVIO DANTAS;PMB;1183
35077;ISABEL MIRANDA;PMB;12
35100;JOÃO DAS RODAS;PMB;104
35110;PREGADORA ANA SELMA;PMB;402
35111;RENATO BEZERRA;PMB;392
35122;NIVALDO BACURAU;PMB;1624
35123;PRISCILA AZEVEDO;PMB;419
35124;RICARDINHO DO PLANALTO;PMB;1185
35125;WISLLEY LIMA (AMOR);PMB;682
35135;MAX PAIVA;PMB;406
35144;CONSTANTINO;PMB;321
35171;DR CARLOS ROBERTO;PMB;81
35177;SOCORRO BATISTA;PMB;93
35178;CARIDADE;PMB;16
35190;DELEGADO SERGIO LEOCÁDIO;PMB;1169
35191;DAGMAR AGENTE DE SAÚDE;PMB;79
35192;DANIEL JUNIOR;PMB;635
35222;MARLENE RAMALHO;PMB;1242
35223;CHAGAS NUNES;PMB;178
35233;WALKER COSTA;PMB;578
35234;NICE;PMB;163
35321;JOSY KARLA;PMB;252
35333;ROSANA FARIAS;PMB;282
35355;ELIANE SANTOS;PMB;65
35400;CLEUDIVAN BEZERRA;PMB;96
35444;EDUARDO GOMES;PMB;794
35500;MAXWELL TRINDADE;PMB;848
35555;ROBSON CARVALHO;PMB;2565
35653;MANOEL EDUARDO;PMB;1787
35666;VERA DA ACADEMIA;PMB;120
35678;ALDO CLEMENTE;PMB;2229
35700;ITAMAR MONTEIRO;PMB;267
35777;DANIEL ARRUDA;PMB;1929
35789;ANIZIO;PMB;750
35888;DELZIMAR SOARES;PMB;383
35890;MARCOS FREIRE;PMB;171
36000;KARLA JEANE;PTC - PRP / PTC / PRTB / PMN;18
36100;PASTOR ED LIMA;PTC - PRP / PTC / PRTB / PMN;233
36104;JOAQUIM JÚNIOR;PTC - PRP / PTC / PRTB / PMN;44
36111;FRAN ROCHA;PTC - PRP / PTC / PRTB / PMN;43
36123;AJOSILEIDE ALVES;PTC - PRP / PTC / PRTB / PMN;193
36133;ZILDETE LIRA;PTC - PRP / PTC / PRTB / PMN;3
36136;PROFESSOR GARRIDO;PTC - PRP / PTC / PRTB / PMN;0
36166;BELCHIOR REIS;PTC - PRP / PTC / PRTB / PMN;35
36171;CARRAPICHO;PTC - PRP / PTC / PRTB / PMN;120
36190;SUBTENENTE MAVIGNIER;PTC - PRP / PTC / PRTB / PMN;175
36333;JAQUES ABENÇOADO;PTC - PRP / PTC / PRTB / PMN;220
36456;WELLINGTON GOMES;PTC - PRP / PTC / PRTB / PMN;116
36543;GILDETE PINHEIRO;PTC - PRP / PTC / PRTB / PMN;59
36666;ALLYSON GOMES;PTC - PRP / PTC / PRTB / PMN;97
40007;PROFESSOR RONIELE SANTOS;PSB - PSB / PPS;233
40100;SEVERINA ALVES;PSB - PSB / PPS;278
40123;ARAKEN FARIAS;PSB - PSB / PPS;559
40125;GUIMARÃES;PSB - PSB / PPS;0
40127;JOÃO MARIA;PSB - PSB / PPS;55
40170;VILMA DA SAÚDE;PSB - PSB / PPS;261
40200;DR FRANKLIN CAPISTRANO;PSB - PSB / PPS;4003
40222;ZÉ ROBERTO FELIX;PSB - PSB / PPS;146
40321;XÊNIA COSTA;PSB - PSB / PPS;43
40333;JAILTON FELICIANO;PSB - PSB / PPS;457
40442;NAYANE NUNES;PSB - PSB / PPS;108
40456;BRUNO CARLOS;PSB - PSB / PPS;315
40555;NILDO ANGELO;PSB - PSB / PPS;909
40666;OZILENE GARCIA;PSB - PSB / PPS;18
40777;MATHEUS PERES;PSB - PSB / PPS;156
40789;PAULO NERIS DO SANGUE;PSB - PSB / PPS;144
40888;JOÃO DO VALE;PSB - PSB / PPS;364
43000;DR TADEU ALENCAR;PV;491
43002;ANTONIO WALDEMAR;PV;15
43003;MARGARETH ALVES;PV;0
43013;THAYANE LOPES MIRANDA;PV;0
43043;LÉO ALMEIDA;PV;566
43069;SHEILA VULCÃO;PV;47
43100;PROFESSOR JULIO BEZERRIL;PV;43
43111;DR MARILTON;PV;204
43123;ROBERTO LOPES;PV;349
43133;HERMES;PV;1425
43200;MATIAS DELEGADO;PV;78
43213;CARLOS ALEXANDRE;PV;212
43216;LUIZ INACIO;PV;132
43222;PROFº IVONALDO;PV;166
43223;LUCINÉIA FLORÊNCIO;PV;77
43233;PROFESSOR AURICÉLIO LUCENA;PV;140
43234;ROBSON SOARES;PV;147
43321;CORDEIRO DO TIROL;PV;128
43333;MARCELO GUEDES;PV;209
43343;NELLY CARLOS;PV;82
43345;ALEX MAUHEL;PV;414
43433;LUZIA BARBOSA;PV;140
43443;ELIANA TORRES;PV;60
43456;MARINA MELO;PV;161
43555;IRMAO DAILTON;PV;132
43666;CAMARADA LETO;PV;7
43670;JOÃO BARBOSA;PV;244
43789;DANIEL GÊNESIS;PV;51
43987;DHÉBORA MARTINS;PV;1
43999;GILMAR DO DEPOSITO;PV;1361
44000;ADRIANA TRINDADE;PRP - PRP / PTC / PRTB / PMN;398
44002;SUZIANY FERNANDES;PRP - PRP / PTC / PRTB / PMN;3
44007;FLAVIO GENTIL;PRP - PRP / PTC / PRTB / PMN;224
44111;PAULO YURI;PRP - PRP / PTC / PRTB / PMN;133
44123;PAULINHO VILELA;PRP - PRP / PTC / PRTB / PMN;710
44234;REINALDO JUNIOR;PRP - PRP / PTC / PRTB / PMN;155
44333;SUELY CIDRAO;PRP - PRP / PTC / PRTB / PMN;99
44344;SUZANA FERNANDES;PRP - PRP / PTC / PRTB / PMN;0
44355;SIMONE FERNANDES;PRP - PRP / PTC / PRTB / PMN;6
44444;CAPITÃO NILO;PRP - PRP / PTC / PRTB / PMN;1843
44555;HEINER BRANDAO;PRP - PRP / PTC / PRTB / PMN;66
44777;NILDO;PRP - PRP / PTC / PRTB / PMN;258
44888;RAFAELLA MAGNA;PRP - PRP / PTC / PRTB / PMN;1
44999;JUNIOR CAPOEIRA;PRP - PRP / PTC / PRTB / PMN;198
45000;GILENILDO;PSDB - PSDB / PT do B;1601
45001;ADRIANA SHIEILA;PSDB - PSDB / PT do B;13
45007;DELEGADO FABIO ROGERIO;PSDB - PSDB / PT do B;614
45008;BEL COSTA;PSDB - PSDB / PT do B;17
45011;NEUMA;PSDB - PSDB / PT do B;1
45055;NEILDE;PSDB - PSDB / PT do B;0
45066;LUZIA;PSDB - PSDB / PT do B;1
45111;ALBERT EINSTEIN;PSDB - PSDB / PT do B;224
45123;AROLDO ALVES;PSDB - PSDB / PT do B;4532
45212;LUCIANA;PSDB - PSDB / PT do B;23
45222;MAXWELL MELLO;PSDB - PSDB / PT do B;19
45345;JOSINALDO;PSDB - PSDB / PT do B;143
45444;RENNAN NUNES;PSDB - PSDB / PT do B;438
45451;MARIA JOSE;PSDB - PSDB / PT do B;74
45456;DR CARLOS CAMAL;PSDB - PSDB / PT do B;155
45555;DICKSON NASSER JR;PSDB - PSDB / PT do B;3662
45678;ROSEMBERG CORTEZ;PSDB - PSDB / PT do B;430
45777;GILSON LOURENÇO;PSDB - PSDB / PT do B;54
45888;JURACIR;PSDB - PSDB / PT do B;324
45999;TADEU ARRUDA;PSDB - PSDB / PT do B;226
50000;MARCOS TINOCO;PSOL;165
50009;FABIANO COSTA;PSOL;112
50011;DELCIO NEGAO;PSOL;19
50015;ADEGILSON ESPERANÇA;PSOL;517
50024;ARETHA MELO;PSOL;246
50044;FRANCISCO CANINDE;PSOL;157
50051;GEOMAR;PSOL;246
50055;MALU;PSOL;215
50100;CRIS LIMA;PSOL;150
50111;MAZINHO COSTA;PSOL;544
50113;JEFFERSON HASILLE;PSOL;587
50114;JESSICA ALVES;PSOL;2
50122;MIRANDINHA DO PLANALTO;PSOL;306
50123;SANDRO PIMENTEL;PSOL;3700
50124;CLENIO LUCAS;PSOL;160
50144;PROF ALEXANDRE TAVARES;PSOL;359
50150;PROFESSORA MILCA;PSOL;245
50192;FRANCISCA FARIAS;PSOL;166
50200;ROSANGELA DA RECICLAGEM;PSOL;45
50220;KANELINHA;PSOL;55
50222;MAURICIO GURGEL;PSOL;3167
50223;ALDANIR CARVALHO;PSOL;78
50230;JADIEL FREIRE DA SILVA;PSOL;92
50234;AMADO BATISTA COVER;PSOL;51
50322;RICHARDSON BARBOSA;PSOL;100
50332;LIZIÊR MORAIS;PSOL;58
50444;BRENO CAMACHO;PSOL;1304
50450;TASSO SILVA DE OLIVEIRA;PSOL;9
50456;MARCOS ANTONIO PSOL;PSOL;1251
50505;SANDRO TOMAZ;PSOL;67
50555;SONIA GODEIRO;PSOL;464
50777;DANIELA;PSOL;338
50789;JUCIÊ LIMA;PSOL;15
50800;SOL;PSOL;211
50888;TIAGO DA AUTO ESCOLA;PSOL;1689
50999;EDUARDO MONTEIRO;PSOL;143
51000;SERGIO PINHEIRO;PEN - PEN / PP;1862
51001;INGRID HANNA;PEN - PEN / PP;149
51004;DRª ROBERTA;PEN - PEN / PP;122
51006;BEZERRA DO SINDICATO;PEN - PEN / PP;44
51007;ANCHIETA FELIX;PEN - PEN / PP;546
51013;VANY ALVES;PEN - PEN / PP;8
51015;BEBETO;PEN - PEN / PP;222
51020;VOVÓ MARLENE;PEN - PEN / PP;96
51051;CIDINHO MEDEIROS;PEN - PEN / PP;587
51091;CEIÇA DANTAS;PEN - PEN / PP;0
51100;ZE HUMBERTO;PEN - PEN / PP;1335
51111;NINA SOUZA;PEN - PEN / PP;2289
51115;PROFESSORA RAISSA;PEN - PEN / PP;5
51123;RODRIGO DANTAS;PEN - PEN / PP;173
51165;VERA LUCIA;PEN - PEN / PP;0
51190;JONAS MOTOBOY;PEN - PEN / PP;335
51192;ELIEL DO GAS;PEN - PEN / PP;217
51200;SENNA;PEN - PEN / PP;219
51221;ERINEIDE TORRES;PEN - PEN / PP;25
51222;CARLOS BELEZAL;PEN - PEN / PP;204
51224;ZÉ AESCIO;PEN - PEN / PP;652
51233;DAMIAO POTENCIA;PEN - PEN / PP;145
51234;GLAUCE MOURA;PEN - PEN / PP;69
51302;JOSE NEPOMUCENO;PEN - PEN / PP;342
51321;EDMUNDO;PEN - PEN / PP;88
51333;EDILSON DUVALLE;PEN - PEN / PP;129
51345;XAVIER QUEIXINHO;PEN - PEN / PP;240
51444;IVANILSON OLIVEIRA;PEN - PEN / PP;263
51510;BLACK SHOW;PEN - PEN / PP;560
51515;RUTEMBERG ROCHA;PEN - PEN / PP;90
51551;JORGE DANTAS;PEN - PEN / PP;0
51555;WANESSA MEDEIROS;PEN - PEN / PP;351
51610;PRETO AQUINO;PEN - PEN / PP;4206
51644;MARCOS DO POTENGI;PEN - PEN / PP;146
51666;LUIZ ANTONIO;PEN - PEN / PP;42
51707;NASTAGNAN BATISTA;PEN - PEN / PP;899
51789;DR JOSUE;PEN - PEN / PP;607
51800;JOAO MARIA CORRETO;PEN - PEN / PP;439
51888;WENDY SILVA;PEN - PEN / PP;58
51991;SUELEIDE PEREIRA DA SILVA;PEN - PEN / PP;0
51999;WARTA DANTAS;PEN - PEN / PP;31
55000;JOÃO BATISTA TORRES;PSD - PSD / PTB / PSL;868
55111;LILICO BEZERRA;PSD - PSD / PTB / PSL;3155
55122;CHICO AMBULANTE;PSD - PSD / PTB / PSL;313
55123;DR ENILDO;PSD - PSD / PTB / PSL;1713
55125;FERNANDO CUNHA;PSD - PSD / PTB / PSL;77
55222;ASSIS OLIVEIRA;PSD - PSD / PTB / PSL;1456
55234;HERON MANGABEIRA;PSD - PSD / PTB / PSL;475
55333;DELEGADO LUCENA;PSD - PSD / PTB / PSL;1289
55400;REGINA SABINO;PSD - PSD / PTB / PSL;0
55444;LILI ABREU;PSD - PSD / PTB / PSL;47
55456;ERINELSON MORAIS;PSD - PSD / PTB / PSL;286
55550;MARIA CLEIDE;PSD - PSD / PTB / PSL;0
55555;NEY LOPES JR;PSD - PSD / PTB / PSL;3197
55666;CIDÃO;PSD - PSD / PTB / PSL;73
55678;PROF MARIO NOVAES;PSD - PSD / PTB / PSL;176
55777;FRANCISCO CUNHA;PSD - PSD / PTB / PSL;182
55789;MARIA DE FATIMA VARELA;PSD - PSD / PTB / PSL;1
55800;JARDENIRA FERNANDES;PSD - PSD / PTB / PSL;0
55888;ROCHINHA;PSD - PSD / PTB / PSL;2245
55999;JUREMA;PSD - PSD / PTB / PSL;168
65000;DANIEL FERNANDES;PC do B;354
65001;LUIZ CLÁUDIO;PC do B;271
65002;SIMONE SILVA;PC do B;0
65003;DIANA CABRAL;PC do B;44
65005;JOSELITO TAXISTA;PC do B;216
65010;PROFESSOR EURICO;PC do B;695
65084;IRMÃ EDILMA;PC do B;251
65100;GERALDO ALVES;PC do B;123
65110;LUCIANO TERTULINO BARBOSA;PC do B;208
65111;PAULA SANTOS;PC do B;69
65114;ÍTALO ANDERSON;PC do B;85
65123;GEORGE CÂMARA;PC do B;2006
65126;JOSENILSON;PC do B;39
65160;KINEN;PC do B;79
65165;JOÃO MEU QUERIDO;PC do B;74
65190;CABO JEOAS;PC do B;1578
65222;CRISTINA SANTOS;PC do B;124
65321;VALECIA;PC do B;278
65333;XANDÃO;PC do B;630
65444;PROFESSOR ZÉ CARLOS;PC do B;110
65555;MARCIO MELO;PC do B;61
65656;MOACIR SOARES;PC do B;256
65666;MILENA;PC do B;75
65678;OLGA AGUIAR;PC do B;345
65777;MARCELINO;PC do B;73
65789;ROGÉRIO OLIVEIRA;PC do B;204
65800;CARLINHOS DEFICIENTE;PC do B;119
65888;MARIA CUNHA;PC do B;5
65999;RICARDO GUEDES;PC do B;57
70000;SGT HUMBERTO;PT do B - PSDB / PT do B;276
70100;GISLENO NENE;PT do B - PSDB / PT do B;130
70111;WILMA DE FARIA;PT do B - PSDB / PT do B;4421
70112;ALEXSANDRA ROCHA;PT do B - PSDB / PT do B;80
70123;EDINHO GUERRA;PT do B - PSDB / PT do B;1374
70170;EDIVANILSON BEBETO;PT do B - PSDB / PT do B;30
70190;ARIBERTO;PT do B - PSDB / PT do B;955
70200;JULIANA DUTRA;PT do B - PSDB / PT do B;96
70222;RAFA MAIA;PT do B - PSDB / PT do B;5
70330;JOSELITO;PT do B - PSDB / PT do B;301
70400;ANA DO LEITE;PT do B - PSDB / PT do B;109
70444;PASTOR SILVESTRE;PT do B - PSDB / PT do B;269
